Index,Name,Classification,dD,dP,dH,BP,LD50,CAS,Desc,Img_URL,SDS_Page,Img_URL_alt,Toxicity_Ref
,1-Chloronaphthalene,Halogenated,20.5,4.9,2.5,259,1540,90-13-1,1-chloronaphthalene is a clear colorless to amber oily viscous liquid.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/1-chloronaphthalene_200.svg/1200px-1-chloronaphthalene_200.svg.png,https://pubchem.ncbi.nlm.nih.gov/compound/7003,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/1-chloronaphthalene_200.svg/300px-1-chloronaphthalene_200.svg.png,
,1-Methyl Naphthalene,NH & Aromatic,19.7,0.8,4.7,245,1840,90-12-0,1-methylnaphthalene is a colorless liquid. Freezing point -22°C (7.6°F). Boiling point 240-243°C (464-469°F). Flash point 82°C (180°F). Denser than water. Derived from coal tar and used in organic synthesis.,https://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=7002&t=l,https://pubchem.ncbi.nlm.nih.gov/compound/7002,,
,1-Methyl-4-(1-Methylethenyl)Benzene,NH & Aromatic,17.7,2.7,2.9,186.8,"5,700",1195-32-0,"P-Mentha-1,3,5,8-tetraene is a monocyclic hydrocarbon and a monoterpene.",http://www.chemspider.com/ImagesHandler.ashx?id=56173&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/1-Methyl-4-_prop-1-en-2-yl_benzene#section=1D-NMR-Spectra,,
,1-Pentanol,"Alcohol, Ketones, & Water",15.9,5.9,13.9,138,200,71-41-0,"Pentan-1-ol is an alkyl alcohol that is pentane in which a hydrogen of one of the methyl groups is substituted by a hydroxy group. It has been isolated from Melicope ptelefolia. It has a role as a plant metabolite. It is an alkyl alcohol, a primary alcohol, a pentanol and a short-chain primary fatty alcohol.",http://www.chemspider.com/ImagesHandler.ashx?id=6040&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/1-Pentanol,,
,1-Pentylcyclopentane,NH & Aromatic,16.6,2,3,180,,3741-00-2,A clear colorless to yellow viscous liquid used recently as an additive for organic solar cells and as as heat transfer fluids for High Temperature Energy Applications,https://assets.fishersci.com/TFS-Assets/CCG/Chemical-Structures/chemical-structure-cas-3741-00-2.jpg-650.jpg,https://pubchem.ncbi.nlm.nih.gov/compound/Pentylcyclopentane,,
,1-Phenylnaphthalene,NH & Aromatic,19.9,2.7,3.8,357.2,,0605-02-07,Clear liquid used in the manufacture of synthetic resins and rubber adhesives and also as a blowing agent in the manufacture of polyurethane insulating foam,http://www.chemspider.com/ImagesHandler.ashx?id=11302&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/1-Phenylnaphthalene,,
,"1,2-Dimethoxybenzene (Veratrol)",NH & Aromatic,19.2,4.4,9.4,207,890,91-16-7,"1,2-Dimethoxybenzene is a natural product found in Ophrys sphegodes, Averrhoa carambola, and other organisms with data available.",http://www.chemspider.com/ImagesHandler.ashx?id=13861009&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/1_2-Dimethoxybenzene,,
,"1,4-Cineole",Terpene,17.1,3.6,3.7,65,3100,,"1,4-cineole is an oxabicycloalkane consisting of p-menthane with an epoxy bridge across positions 1 and 4. It has a role as a plant metabolite, a fumigant insecticide and a central nervous system depressant. It is a cineole and an oxabicycloalkane.",https://file.medchemexpress.com/product_pic/hy-n7117.gif,https://pubchem.ncbi.nlm.nih.gov/compound/1_4-Cineole,,
,"1,8-Cineole (Eucalyptol)",Terpene,16.7,4.6,3.4,172,2480,,Eucalyptol is naturally produced cyclic ether and monoterpenoid. Eucalyptol is an ingredient in many brands of mouthwash and cough suppressant. It controls airway mucus hypersecretion and asthma via anti-inflammatory cytokine inhibition. Eucalyptol is an effective treatment for nonpurulent rhinosinusitis. Eucalyptol reduces inflammation and pain when applied topically. It kills leukaemia cells in vitro.,http://www.chemspider.com/ImagesHandler.ashx?id=2656&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/Eucalyptol,,
,2-Methyl Benzothiophene,NH & Aromatic,19.6,3.2,4.9,232.6,,1195-14-8,Colorless to pale yellow clear phenolic solvent that can be synthesized by reacting 2-thianaphthenyllithium with methyl p-toluenesulfonate.,http://www.chemspider.com/ImagesHandler.ashx?id=64114&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/2-Methylbenzo_b_thiophene,,
